ModificationID,InventoryID,OrderItemID,Quantity,Cost
1,12,7,1,1
2,2,8,1,0.25
3,6,16,1,0.25
4,3,20,1,0.25
5,3,21,1,0.25
6,9,25,1,0.25
7,17,26,1,1
8,30,28,1,1
9,16,29,1,0.25
10,24,30,1,0.25
11,3,33,1,0.25
12,15,35,1,0.25
13,13,38,1,0.25
14,7,40,1,1
15,25,44,1,0.25
16,17,45,1,0.25
17,20,46,1,0.25
18,25,49,1,0.25
19,20,51,1,1
20,17,52,1,0.25
21,20,53,1,1
22,17,56,1,0.25
23,17,56,1,1
24,26,57,1,1
25,25,58,1,0.25
26,13,59,1,0.25
27,13,60,1,0.25
28,13,63,1,1
29,16,68,1,0.25
30,14,72,1,1
31,18,79,1,0.25
32,33,80,1,0.25
33,30,81,1,1
34,5,83,1,0.25
35,22,87,1,0.25
36,22,87,1,1
37,26,89,1,0.25
38,9,90,1,0.25
39,24,92,1,0.25
40,24,92,1,1
41,30,97,1,1
42,4,101,1,0.25
43,24,103,1,1
44,8,104,1,0.25
45,23,105,1,0.25
46,1,106,1,0.25
47,26,108,1,0.25
48,28,114,1,0.25
49,28,114,1,1
50,32,115,1,0.25
51,21,116,1,0.25
52,1,118,1,1
53,14,122,1,0.25
54,9,127,1,1
55,23,130,1,1
56,13,132,1,0.25
57,1,134,1,1
58,28,139,1,0.25
59,2,141,1,1
60,13,148,1,0.25
61,31,150,1,0.25
62,26,151,1,1
63,29,154,1,1
64,27,158,1,1
65,14,159,1,1
66,13,161,1,1
67,22,163,1,0.25
68,19,165,1,1
69,8,166,1,0.25
70,31,168,1,0.25
71,3,169,1,1
72,6,171,1,1
73,29,172,1,0.25
74,29,173,1,0.25
75,28,174,1,1
76,4,178,1,0.25
77,4,178,1,1
78,19,179,1,0.25
79,21,180,1,0.25
80,30,182,1,0.25
81,8,184,1,1
82,7,186,1,0.25
83,9,187,1,1
84,32,189,1,1
85,8,193,1,1
86,9,198,1,0.25
87,7,201,1,0.25
88,14,202,1,0.25
89,12,204,1,0.25
90,17,205,1,0.25
91,19,207,1,0.25
92,25,208,1,0.25
93,24,211,1,0.25
94,5,218,1,0.25
95,27,220,1,0.25
96,21,222,1,0.25
97,6,225,1,1
98,7,226,1,1
99,18,227,1,0.25
100,29,228,1,0.25
101,20,229,1,0.25
102,2,231,1,1
103,26,233,1,1
104,29,237,1,1
