OrderItemID,MenuID,Price,QuantityPurchased,OrderID,Size
1,14,6.5,1,1,0
2,13,14.0,2,1,1
3,13,13.0,2,2,0
4,9,13.0,2,2,-1
5,7,14.5,2,3,1
6,30,12.5,2,4,-1
7,12,13.1,2,5,-1
8,2,13.0,2,6,0
9,24,7.25,1,7,1
10,21,14.4,2,8,0
11,26,13.5,2,9,0
12,27,12.0,2,10,-1
13,3,13.5,2,11,0
14,10,9.8,2,12,0
15,7,7.25,1,13,1
16,6,12.5,2,14,-1
17,1,6.05,1,15,0
18,5,12.0,2,16,-1
19,18,14.5,2,17,1
20,3,13.0,2,18,-1
21,3,15.0,2,19,1
22,33,14.0,2,20,0
23,10,4.4,1,21,-1
24,16,6.0,1,22,-1
25,9,7.75,1,23,1
26,17,6.95,1,24,1
27,27,6.5,1,25,0
28,30,15.5,2,26,0
29,16,13.5,2,27,0
30,24,15.0,2,28,1
31,15,12.0,2,29,-1
32,9,6.5,1,30,-1
33,3,13.0,2,31,-1
34,24,12.5,2,32,-1
35,15,13.5,2,33,0
36,19,6.75,1,34,0
37,30,14.5,2,35,1
38,13,12.5,2,36,-1
39,30,13.5,2,37,0
40,7,14.5,2,38,-1
41,23,5.55,1,39,-1
42,19,7.25,1,40,1
43,13,7.0,1,41,1
44,25,11.4,2,42,0
45,17,11.4,2,43,0
46,20,15.0,2,44,1
47,31,13.0,2,45,-1
48,4,13.0,2,46,0
49,25,11.4,2,47,0
50,23,6.05,1,48,0
51,20,14.5,2,49,-1
52,17,6.2,1,50,1
53,20,7.75,1,51,0
54,2,5.75,1,52,-1
55,6,6.5,1,53,0
56,17,13.4,2,54,0
57,26,7.75,1,55,0
58,25,12.4,2,56,1
59,13,6.25,1,57,-1
60,13,6.75,1,58,0
61,32,7.0,1,59,0
62,24,6.25,1,60,-1
63,13,16.0,2,61,1
64,8,14.0,2,62,0
65,31,14.0,2,63,0
66,21,13.4,2,64,-1
67,15,6.0,1,65,-1
68,16,6.75,1,66,0
69,15,6.0,1,67,-1
70,22,6.7,1,68,-1
71,24,6.75,1,69,0
72,14,15.0,2,70,0
73,29,6.25,1,70,-1
74,15,13.0,2,71,0
75,28,6.25,1,72,-1
76,13,7.0,1,73,1
77,5,14.0,2,74,1
78,20,7.25,1,75,1
79,18,7.0,1,76,0
80,33,6.75,1,77,-1
81,30,7.75,1,78,0
82,4,6.5,1,79,0
83,5,6.25,1,80,-1
84,7,6.25,1,80,-1
85,16,6.5,1,81,0
86,13,12.0,2,82,-1
87,22,16.89,2,83,0
88,26,14.5,2,84,1
89,26,6.5,1,85,-1
90,9,7.25,1,86,0
91,27,13.0,2,87,0
92,24,8.0,1,88,0
93,11,11.2,2,89,1
94,1,6.55,1,90,1
95,15,6.5,1,91,0
96,5,7.0,1,92,1
97,30,14.5,2,93,-1
98,9,7.5,1,94,1
99,9,6.5,1,95,-1
100,1,6.55,1,96,1
101,4,6.75,1,97,0
102,1,6.05,1,98,0
103,24,15.5,2,99,0
104,8,6.75,1,100,-1
105,23,6.8,1,101,1
106,1,6.8,1,102,1
107,8,14.0,2,103,0
108,26,7.0,1,104,0
109,22,14.4,2,105,0
110,24,12.5,2,106,-1
111,27,6.5,1,107,0
112,33,7.5,1,108,1
113,23,5.55,1,109,-1
114,28,15.0,2,110,-1
115,32,14.5,2,111,0
116,21,7.45,1,112,0
117,20,14.5,2,113,1
118,1,7.55,1,114,1
119,4,6.0,1,115,-1
120,1,5.55,1,116,-1
121,1,12.1,2,117,0
122,14,12.5,2,118,-1
123,27,12.0,2,119,-1
124,31,15.0,2,120,1
125,23,11.1,2,121,-1
126,20,13.5,2,122,0
127,9,16.0,2,123,0
128,28,7.25,1,124,1
129,7,7.25,1,125,1
130,23,7.05,1,126,0
131,14,6.0,1,127,-1
132,13,6.75,1,128,0
133,17,5.45,1,129,0
134,1,6.55,1,130,-1
135,20,14.5,2,131,1
136,18,13.5,2,132,0
137,3,13.5,2,133,0
138,1,6.55,1,134,1
139,28,15.0,2,135,1
140,18,13.5,2,136,0
141,2,6.75,1,137,-1
142,31,13.0,2,138,-1
143,21,13.4,2,139,-1
144,17,5.95,1,140,1
145,23,6.55,1,141,1
146,1,11.1,2,142,-1
147,23,12.1,2,143,0
148,13,12.5,2,144,-1
149,13,14.0,2,145,1
150,31,15.5,2,146,1
151,26,8.25,1,147,1
152,9,6.5,1,148,-1
153,10,9.8,2,149,0
154,29,15.5,2,150,0
155,33,6.5,1,151,-1
156,21,13.4,2,152,-1
157,5,6.5,1,153,0
158,27,14.0,2,154,-1
159,14,8.0,1,155,1
160,21,13.4,2,156,-1
161,13,14.0,2,157,-1
162,18,6.25,1,158,-1
163,22,15.9,2,159,1
164,28,7.25,1,160,1
165,19,15.5,2,161,0
166,8,14.5,2,162,0
167,8,15.0,2,163,1
168,31,6.75,1,164,-1
169,3,15.5,2,165,0
170,16,6.0,1,166,-1
171,6,16.0,2,167,1
172,29,15.0,2,168,1
173,29,7.5,1,169,1
174,28,15.5,2,170,0
175,31,15.0,2,171,1
176,24,7.25,1,172,1
177,33,13.0,2,173,-1
178,4,8.25,1,174,1
179,19,6.5,1,175,-1
180,21,6.95,1,176,-1
181,10,5.4,1,176,1
182,30,6.5,1,177,-1
183,13,13.0,2,178,0
184,8,8.0,1,179,0
185,28,12.5,2,180,-1
186,7,13.0,2,181,-1
187,9,16.0,2,182,0
188,5,14.0,2,183,1
189,32,7.5,1,184,-1
190,23,11.1,2,185,-1
191,18,7.25,1,186,1
192,21,7.2,1,187,0
193,8,7.5,1,188,-1
194,30,7.25,1,189,1
195,28,6.25,1,190,-1
196,24,14.5,2,191,1
197,32,15.0,2,192,1
198,9,13.5,2,193,-1
199,1,12.1,2,194,0
200,21,14.4,2,195,0
201,7,13.0,2,196,-1
202,14,6.25,1,197,-1
203,33,7.5,1,198,1
204,12,11.6,2,199,-1
205,17,5.2,1,200,-1
206,26,6.75,1,200,0
207,19,15.0,2,201,1
208,25,11.4,2,202,0
209,21,14.4,2,203,0
210,16,13.0,2,204,0
211,24,6.5,1,205,-1
212,20,6.75,1,206,0
213,8,13.0,2,207,-1
214,20,12.5,2,208,-1
215,13,6.5,1,209,0
216,13,6.0,1,210,-1
217,22,6.7,1,211,-1
218,5,7.25,1,212,1
219,3,6.75,1,213,0
220,27,6.75,1,214,0
221,5,6.0,1,215,-1
222,21,13.9,2,216,-1
223,17,4.95,1,217,-1
224,14,12.0,2,218,-1
225,6,14.0,2,219,-1
226,7,8.25,1,220,1
227,18,14.0,2,221,0
228,29,7.0,1,222,0
229,20,6.5,1,223,-1
230,15,6.0,1,224,-1
231,2,6.75,1,225,-1
232,31,7.5,1,226,1
233,26,7.75,1,227,0
234,33,15.0,2,228,1
235,33,7.5,1,229,1
236,11,4.59,1,230,-1
237,29,8.25,1,231,1
238,21,6.7,1,232,-1
239,22,15.4,2,233,1
240,12,6.05,1,234,0
241,28,14.0,2,235,0
242,30,6.75,1,236,0
243,14,14.0,2,237,1
244,30,12.5,2,238,-1
245,21,6.7,1,239,-1
246,2,14.0,2,240,1
247,10,11.3,2,241,1
248,9,6.5,1,242,-1
249,3,6.75,1,243,0
250,32,14.0,2,244,0
251,7,7.0,1,245,0
252,31,17.5,2,246,1
253,3,6.75,1,247,0
254,3,13.5,2,248,0
255,14,6.25,1,249,-1
256,14,7.0,1,250,1
257,21,8.94,1,251,1
258,7,16.0,2,252,0
259,22,6.7,1,253,-1
260,20,14.5,2,254,1
261,14,12.5,2,255,-1
262,22,15.39,2,256,-1
263,11,5.35,1,257,0
264,11,10.7,2,258,0
265,32,17.5,2,259,1
266,32,6.5,1,260,-1
267,8,15.0,2,261,-1
268,8,15.0,2,262,1
269,6,15.0,2,263,0
270,3,7.25,1,264,-1
271,17,5.45,1,265,0
272,24,13.5,2,266,0
273,1,6.8,1,267,-1
274,9,13.0,2,268,-1
275,8,8.25,1,269,0
276,21,15.4,2,270,1
277,18,6.25,1,271,-1
278,12,14.6,2,272,0
279,3,12.5,2,273,-1
280,32,14.0,2,274,0
281,25,5.95,1,275,1
282,9,7.5,1,276,1
283,10,12.3,2,277,0
284,9,7.0,1,278,0
285,31,7.0,1,279,0
286,9,7.5,1,280,1
287,30,6.75,1,281,0
288,32,7.25,1,282,0
289,8,14.0,2,283,0
290,6,13.0,2,284,0
291,22,15.4,2,285,1
292,16,16.0,2,286,1
293,18,14.5,2,287,-1
294,25,4.95,1,288,-1
295,23,15.1,2,289,1
296,28,12.5,2,290,-1
297,15,7.0,1,291,1
298,25,6.95,1,292,1
299,10,4.9,1,293,0
300,15,7.0,1,294,1
301,16,6.5,1,295,0
302,24,6.25,1,296,-1
303,19,12.5,2,297,-1
304,19,13.5,2,298,0
305,30,6.5,1,299,-1
306,26,6.25,1,300,-1
307,16,6.75,1,301,0
308,3,13.5,2,302,0
309,19,7.25,1,303,1
310,7,13.5,2,304,0
311,15,16.0,2,305,1
312,27,6.5,1,306,0
313,20,14.5,2,307,1
314,7,14.5,2,308,1
315,23,6.55,1,309,1
316,13,6.25,1,310,-1
317,12,11.1,2,311,-1
318,15,12.0,2,312,-1
319,8,14.5,2,313,0
320,32,16.0,2,314,0
321,6,7.0,1,315,-1
322,28,6.25,1,316,-1
323,26,7.25,1,317,1
324,5,16.0,2,318,1
325,16,14.5,2,319,1
326,19,15.0,2,320,1
327,8,13.0,2,321,-1
328,29,7.25,1,322,1
329,26,6.75,1,323,0
330,20,8.25,1,324,1
331,22,15.4,2,325,1
332,10,11.3,2,326,-1
333,4,6.0,1,327,-1
334,28,14.5,2,328,1
335,22,15.4,2,329,1
336,33,6.5,1,330,-1
337,12,6.05,1,331,0
338,25,6.95,1,332,1
339,2,12.5,2,333,0
340,23,5.55,1,334,-1
341,18,12.5,2,335,-1
342,11,4.59,1,336,-1
343,17,13.4,2,336,0
344,3,6.5,1,337,-1
345,4,13.0,2,338,0
346,18,12.5,2,338,-1
347,29,7.25,1,339,1
348,7,12.5,2,340,-1
349,2,13.0,2,341,0
350,31,14.0,2,342,0
351,13,14.0,2,343,1
352,26,6.75,1,344,0
353,5,7.0,1,345,1
354,25,5.95,1,346,1
355,8,13.0,2,347,-1
356,4,12.0,2,348,-1
357,3,14.5,2,349,-1
358,15,7.5,1,350,0
359,20,7.25,1,351,1
360,33,8.5,1,352,1
361,23,12.1,2,353,0
362,17,4.95,1,354,-1
363,23,5.8,1,355,-1
364,10,8.8,2,356,-1
365,30,7.25,1,357,1
366,16,7.0,1,358,1
367,16,6.5,1,359,0
368,14,6.25,1,360,-1
369,27,7.25,1,361,-1
370,8,13.0,2,362,-1
371,13,15.5,2,363,0
372,17,11.9,2,364,-1
373,6,12.5,2,365,-1
374,6,7.0,1,366,1
375,23,12.1,2,367,0
376,30,6.75,1,368,0
377,1,12.1,2,369,0
378,17,5.45,1,370,0
379,20,13.5,2,371,0
380,8,14.0,2,372,0
381,32,15.0,2,373,1
382,8,7.5,1,374,1
383,6,6.5,1,375,0
384,1,7.05,1,376,0
385,20,14.5,2,377,1
386,29,16.5,2,378,1
387,21,15.39,2,379,-1
388,27,14.0,2,380,1
389,31,15.0,2,381,1
390,9,13.0,2,382,-1
391,26,13.5,2,383,0
392,33,7.75,1,384,1
393,11,9.19,2,385,-1
394,15,13.5,2,386,0
395,5,15.0,2,387,0
396,18,13.5,2,388,0
397,18,14.5,2,389,-1
398,24,14.5,2,390,1
399,14,14.0,2,391,1
400,25,11.9,2,392,-1
401,32,15.0,2,393,1
402,33,15.0,2,394,1
403,1,13.1,2,395,1
404,30,7.75,1,396,0
405,20,12.5,2,397,-1
406,15,6.25,1,398,-1
407,24,13.5,2,398,0
408,3,15.0,2,399,1
409,5,13.0,2,400,0
410,22,6.95,1,401,-1
411,19,7.75,1,402,0
412,24,8.25,1,403,1
413,29,14.5,2,404,1
414,16,16.0,2,405,1
415,18,6.25,1,406,-1
416,21,13.4,2,407,-1
417,26,6.75,1,408,0
418,18,13.5,2,409,0
419,6,6.5,1,410,0
420,7,6.5,1,411,-1
421,7,15.0,2,412,1
422,32,13.0,2,413,-1
423,7,15.5,2,414,0
424,14,7.0,1,415,1
425,13,13.0,2,416,0
426,4,12.0,2,417,-1
427,6,16.0,2,418,1
428,21,7.7,1,419,1
429,5,7.5,1,420,0
430,26,14.0,2,421,0
431,19,15.5,2,422,0
432,12,13.6,2,423,1
433,16,14.0,2,424,-1
434,16,13.5,2,425,0
435,20,15.0,2,426,1
436,28,12.5,2,427,-1
437,13,8.0,1,428,1
438,25,11.9,2,429,-1
439,28,6.25,1,430,-1
440,3,6.75,1,431,0
441,25,5.95,1,432,1
442,7,13.5,2,433,0
443,11,5.6,1,434,1
444,33,6.5,1,435,-1
445,20,16.5,2,436,1
446,12,15.1,2,437,1
447,10,10.8,2,438,1
